70.38	-0.225381	5502	0.555556
75.94	-0.286264	25491	0.412037
358.50	-0.139885	6905	0.523810
99.29	0.302388	11844	0.533937
51.95	-0.342233	52620	0.476562
283.70	-0.359826	40635	0.486486
219.05	-0.175731	32438	0.558887
84.16	0.132601	53148	0.388889
465.02	0.00469231	40899	0.496825
77.02	-0.0481975	12956	0.484076
62.71	-0.0318114	153761	0.533784
56.93	-0.105798	1488	0.515021
332.12	0.0311692	43387	0.694915
155.84	0.0152375	116933	0.591667
103.98	-0.535989	15555	0.439394
69.97	0.236833	238829	0.447368
66.27	-0.125717	63376	0.603659
174.09	1.43745	60649	0.486989
174.67	0.231296	5282	0.546392
379.08	-0.233042	181674	0.436709
153.06	0.120045	6329	0.513393
171.15	0.0516	78791	0.529412
103.67	0.149181	43832	0.551282
66.19	-0.59468	11245	0.459854
155.46	-0.0907034	82958	0.432718
115.31	-0.490119	37278	0.554286
145.52	0.0245873	41489	0.582474
52.97	0.10251	116160	0.549223
53.95	0.762033	6872	0.573529
56.26	-0.0941369	53918	0.518672
231.06	-0.245584	43747	0.563077
50.12	-0.0903857	36373	0.467480
55.02	-0.0153352	76761	0.589041
53.75	-0.272252	34543	0.524590
71.24	0.281754	691	0.597990
62.31	-0.0999673	70749	0.518072
115.33	0.0571667	41810	0.589041
114.29	0.116587	16893	0.501618
87.75	0.755551	85670	0.491736
80.20	0.293475	7360	0.525000
472.28	0.008	28737	0.511667
195.25	-0.215911	5445	0.592466
67.77	-0.0474366	107610	0.440252
123.92	-0.0206858	12287	0.521084
59.44	0.0927656	93124	0.504762
52.84	0.0513571	79410	0.504000
60.35	-0.0203911	84343	0.602564
867.16	-0.340477	9222	0.495197
51.95	-0.498346	42572	0.484375
111.31	-0.102532	4756	0.489083
51.66	0.134788	154708	0.472868
76.66	-0.116491	87099	0.443243
158.42	0.417466	42303	0.457547
51.09	0.32485	45660	0.450382
119.64	-0.306938	15726	0.542017
99.55	0.341526	211134	0.483051
53.79	0.0119297	5226	0.491892
179.92	0.609806	67419	0.596123
76.04	1.16525	4625	0.560694
83.93	-0.11051	104228	0.514493
74.87	-0.1835	535	0.572785
106.02	-0.0201557	10510	0.493007
349.84	-0.0982353	22274	0.571691
86.17	-0.0247228	86029	0.494118
59.48	0.24367	93372	0.587786
177.39	-0.12157	145903	0.491409
303.21	-0.170124	10395	0.540698
236.90	0.677938	16743	0.483740
108.85	0.0596617	47063	0.484848
67.31	1.03825	4903	0.439655
77.01	-0.095757	2145	0.430769
319.59	-0.0845183	83382	0.594059
65.47	-0.149959	142064	0.474490
59.16	-0.205867	102251	0.431818
99.02	0.299447	50993	0.467836
166.06	-0.342264	32581	0.575875
248.07	-0.185524	5884	0.580645
50.53	0.0393963	5375	0.548872
54.37	-0.220604	2341	0.633333
554.06	0.683788	155640	0.382979
149.83	-0.213184	761	0.664835
108.99	-0.113865	34253	0.512821
