321.62	2.47831	0.439815
118.33	0.0508808	0.435233
59.60	0.0948426	0.607407
173.07	0.109742	0.607727
110.21	-0.0700345	0.465438
74.63	3.08415	0.540925
61.79	-0.122809	0.510309
81.26	-0.272786	0.440625
66.79	0.15565	0.476440
69.29	-0.229715	0.539062
105.86	-0.512624	0.555118
63.55	-0.180865	0.569832
249.10	-0.229011	0.512367
418.42	-0.20985	0.560459
429.93	-0.1823	0.434483
245.78	3.12086	0.478261
240.29	2.45847	0.521739
130.69	1.11217	0.473684
111.67	0.0310188	0.422535
53.16	-0.057247	0.627451
50.09	-0.0933758	0.463415
50.53	0.154542	0.451128
308.17	-0.228179	0.503759
123.85	-0.216993	0.558621
81.64	0.0059162	0.486111
53.50	0.222679	0.510067
62.78	0.0605582	0.454545
64.03	-0.0898785	0.439490
233.87	-0.113218	0.445283
486.14	0.0378151	0.479419
263.79	-0.0208579	0.489164
438.54	-0.460956	0.470852
57.90	1.45622	0.442177
71.62	0.223302	0.505747
97.24	-0.152303	0.432836
55.47	0.69062	0.643411
132.00	0.126981	0.700000
94.58	-0.028812	0.428571
55.02	0.043484	0.342466
111.98	0.333114	0.591489
85.06	-0.0692353	0.540881
72.30	-0.240725	0.507692
280.61	0	0.569030
129.74	0.168528	0.612319
105.04	2.30786	0.534314
50.01	-0.52447	0.503817
116.51	0.248149	0.504032
51.77	0.348825	0.573460
69.01	-0.0033268	0.464516
67.65	2.17365	0.634831
51.09	0.422804	0.427481
57.03	-0.360194	0.474820
53.14	0.0788281	0.370968
77.05	0.480469	0.512195
53.13	0.0346957	0.562092
55.59	0.0368444	0.451389
168.34	-0.156901	0.500000
74.38	0.124129	0.503597
58.54	0.0302261	0.447761
54.47	0.185764	0.472973
530.04	-0.423335	0.518405
57.33	-0.170476	0.492754
61.65	0.264125	0.537688
66.10	2.0499	0.514523
55.54	-0.00967898	0.419540
79.28	0.083433	0.388889
125.03	0.345734	0.446328
164.82	0.141681	0.570874
55.00	-0.107972	0.532258
100.92	0.116474	0.476190
75.54	-0.306751	0.549815
226.51	-0.0837424	0.565049
116.53	-0.120814	0.373391
206.77	-0.359944	0.419643
55.30	-0.134655	0.489655
61.83	0.00764328	0.437788
103.25	3.1572	0.476440
63.74	1.48194	0.456835
64.51	-0.39192	0.649351
81.09	-0.0566556	0.362573
113.66	0.0732169	0.558583
99.40	0.0276305	0.529412
505.64	0.0458067	0.496302
52.62	-0.323706	0.573460
57.87	0.650338	0.484848
66.08	0.508779	0.431579
320.06	0.150693	0.468750
153.54	-0.149913	0.474820
66.91	-0.184538	0.525641
73.14	0.00147576	0.573964
77.27	0.0493374	0.601093
72.52	2.5904	0.497076
66.53	-0.125952	0.514706
102.05	0.923602	0.536965
322.82	1.51005	0.474667
119.45	1.91088	0.650685
58.84	-0.0341048	0.480263
58.80	0.127949	0.481481
528.81	0.0804135	0.535047
66.94	0.0190041	0.436090
226.41	1.86338	0.537356
70.96	0.597011	0.531707
276.07	0.196488	0.609053
71.32	0.56756	0.388571
68.26	1.20959	0.581395
54.47	0.927257	0.527027
117.60	-0.196937	0.534247
69.00	-0.166682	0.644269
283.84	0.0783732	0.578680
833.76	-0.11244	0.571637
253.38	1.11117	0.655971
68.23	0.0782466	0.572519
88.16	-0.116376	0.622166
104.91	0.543673	0.501792
76.28	0.174379	0.496183
57.32	-0.0394885	0.393939
250.19	0.040017	0.478495
411.82	-0.161882	0.506691
100.63	0.0139639	0.396907
