703.03	0	1315	0.536804	0
162.67	0.0264089	29381	0.536946	0
2470.96	2.12493	1996	0.449349	0
65.40	-0.429695	1044	0.497006	0
151.98	-0.106582	17074	0.549645	1
223.37	0.127283	18124	0.506329	1
229.80	0.135248	6790	0.788079	0
54.35	-0.319381	1057	0.619318	0
132.67	0.487691	1402	0.710027	0
56.66	-0.0789346	1680	0.760736	0
143.00	0.215934	1094	0.757401	0
105.55	-0.424906	7605	0.581197	0
98.03	0.600376	3859	0.651629	0
447.06	0.160727	5680	0.689266	0
170.86	-0.338444	2082	0.707395	0
83.44	-0.633007	1512	0.770455	0
70.77	0.037	801	0.640000	1
245.96	-0.0767046	4291	0.680128	1
502.58	1.14806	6472	0.767677	0
298.92	-0.0020285	4582	0.736342	1
773.23	-0.522337	5057	0.669201	1
54.78	-0.776617	6647	0.679612	0
320.75	-0.37578	5411	0.695193	0
95.53	-0.209133	7550	0.714286	1
629.33	-0.365104	8249	0.706607	1
78.37	0.28108	4125	0.707368	0
81.86	0.056296	1937	0.653240	1
50.33	-0.364284	1035	0.650138	0
251.07	-0.228432	751	0.570997	0
76.55	0.0815129	7811	0.679083	0
147.51	-0.84415	6092	0.662551	1
293.09	1.18619	3899	0.737960	0
84.13	1.00614	1786	0.634241	0
53.88	0.343778	3740	0.675497	0
53.21	0.204547	2901	0.648551	1
182.91	1.0745	1482	0.668966	1
186.61	1.50362	6440	0.694624	1
117.67	-0.0116765	770	0.652661	1
159.56	0.766699	4031	0.655346	1
57.12	1.2665	2679	0.763291	0
54.83	-0.153157	1214	0.660784	1
158.00	-0.543559	2563	0.621924	1
64.01	2.09255	1628	0.516245	1
113.42	-0.0370336	1153	0.466387	1
75.91	0.0158141	1637	0.596154	1
265.12	-0.179032	741	0.739443	1
82.74	-0.236003	597	0.663881	1
157.47	-0.467795	5235	0.662791	1
82.51	-0.498349	9218	0.660550	0
465.40	-0.0856202	6826	0.556090	1
72.70	-0.0331501	775	0.689567	1
90.18	-0.334828	10506	0.584821	1
